code_insee,code_postal,latitude,longitude,nom_commune,departement
69205,69290,45.7610551042,4.72602177608,ST GENIS LES OLLIERES,69
40002,40330,43.5938659835,-0.743678079626,AMOU,40
42127,42300,46.0919456873,4.0633211833,MABLY,42
85298,85150,46.6055340621,-1.74863672042,VAIRE,85
40230,40465,43.7980252651,-0.940526888731,PONTONX SUR L ADOUR,40
81018,81160,43.9638815505,2.22587013595,ARTHES,81
34299,34410,43.2733185307,3.29725083254,SERIGNAN,34
33140,33670,44.770425384,-0.343606134456,CREON,33
36018,36300,46.6346200347,1.10013221164,LE BLANC,36
94016,94230,48.7916121646,2.33153313164,CACHAN,94
13117,13127,43.4497831674,5.26357787665,VITROLLES,13
28085,28000,48.4471464884,1.50570610616,CHARTRES,28
50349,50590,48.9910212765,-1.52994382531,MONTMARTIN SUR MER,50
80186,80320,49.8169359721,2.80153906029,CHAULNES,80
23096,23000,46.1632121428,1.87078672735,GUERET,23
84087,84100,44.128913537,4.8098792403,ORANGE,84
92050,92000,48.8960701282,2.20671346353,NANTERRE,92
30334,30700,44.0136590402,4.41600031556,UZES,30
32013,32000,43.6534300414,0.575190250459,AUCH,32
97611,97600,-12.7899979586,45.1932456026,MAMOUDZOU,976
42187,42300,46.0449112487,4.0797045647,ROANNE,42
83081,83440,43.5990101065,6.78985995347,MONTAUROUX,83
66149,66500,42.6145021996,2.43074849066,PRADES,66
68177,68610,47.9527349295,7.16433010313,LAUTENBACH,68
79191,79000,46.328260242,-0.465353019369,NIORT,79
35220,35150,48.0111877546,-1.42837195377,PIRE SUR SEICHE,35
61001,61000,48.4318193082,0.0915406916107,ALENCON,61
31317,31430,43.3049878647,1.10662037582,MARIGNAC LASCLARES,31
93072,93240,48.9567775699,2.3854495629,STAINS,93
35263,35350,48.677369423,-1.92087004371,ST COULOMB,35
89338,89100,48.2247837392,3.30677970985,ST CLEMENT,89
92024,92110,48.9035359139,2.30575230452,CLICHY,92
83103,83200,43.1824918424,5.94565392204,LE REVEST LES EAUX,83
17415,17100,45.7422300162,-0.649623035643,SAINTES,17
45146,45240,47.7119750833,1.92714666074,LA FERTE ST AUBIN,45
59090,59910,50.7096656233,3.09529083038,BONDUES,59
16102,16100,45.6962326551,-0.33507941815,COGNAC,16
66053,66190,42.5130107325,3.07254121467,COLLIOURE,66
68066,68000,48.1099405789,7.38468690323,COLMAR,68
70162,70000,47.6121777534,6.22089003773,COLOMBE LES VESOUL,70
83061,83600,43.4719558114,6.76361597424,FREJUS,83
25512,25210,47.1549185878,6.73440290446,LE RUSSEY,25
81139,81440,43.7052468491,2.12929403349,LAUTREC,81
33523,33760,44.7345410468,-0.267821650496,TARGON,33
68297,68300,47.6016553367,7.54061872745,ST LOUIS,68
33356,33126,44.9377237217,-0.316177006649,LA RIVIERE,33
78362,78711,48.9747939435,1.71205571778,MANTES LA VILLE,78
11069,11000,43.2093798444,2.34398855385,CARCASSONNE,11
31451,31250,43.4656037799,1.99689394052,REVEL,31
04088,4300,43.9599082374,5.7882827572,FORCALQUIER,4
2A004,20167,41.9347926638,8.70132275974,AJACCIO,2A
27056,27300,49.0925877345,0.58959175237,BERNAY,27
56100,56630,48.1318811919,-3.48128235286,LANGONNET,56
30164,30430,44.2309207985,4.36426612667,MEJANNES LE CLAP,30
83126,83500,43.0880294967,5.87089841754,LA SEYNE SUR MER,83
32256,32300,43.5186713962,0.410792361049,MIRANDE,32
33029,33114,44.6268462922,-0.746697894211,LE BARP,33
13084,13640,43.7176409517,5.30157633559,LA ROQUE D ANTHERON,13
72180,72600,48.3545313197,0.370783494811,MAMERS,72
37003,37400,47.3917237652,1.00023994675,AMBOISE,37
10362,10300,48.2963408998,4.02333022061,STE SAVINE,10
84025,84220,43.8965322686,5.15279801626,CABRIERES D AVIGNON,84
51183,51220,49.3196081983,4.0061261454,COURCY,51
07349,7800,44.8015403943,4.78018830634,LA VOULTE SUR RHONE,7
30007,30100,44.1250099126,4.08828501262,ALES,30
92023,92140,48.7964306792,2.25474652922,CLAMART,92
71270,71000,46.3205511756,4.81842529639,MACON,71
26108,26400,44.7335665907,5.0221758413,CREST,26
04065,4230,44.0831626991,5.83846949092,CRUIS,4
07281,7130,44.9410716967,4.82459034307,ST PERAY,7
01443,1330,45.9927150222,5.04507856642,VILLARS LES DOMBES,1
87085,87280,45.8542549589,1.2487579024,LIMOGES,87
