codeINSEE,communeINSEE,codePostal,latitude,longitude,departement
51230,EPERNAY,51200,49.037000689,3.93144626202,51
62186,BULLY LES MINES,62160,50.4451131556,2.71911165536,62
73057,BRIDES LES BAINS,73570,45.4538077442,6.56840188785,73
38157,ESTRABLIN,38780,45.5136075933,4.95889651862,38
08105,CHARLEVILLE MEZIERES,8000,49.7752965803,4.71724655966,8
14117,CABOURG,14390,49.2834863414,-0.125512945279,14
76681,SOTTEVILLE LES ROUEN,76300,49.4104887444,1.09509946531,76
26198,MONTELIMAR,26200,44.5540845734,4.74869387765,26
46042,CAHORS,46000,44.4507370916,1.44075837848,46
35168,MAURE DE BRETAGNE,35330,47.8971012974,-1.99867854689,35
44015,BLAIN,44130,47.4628210409,-1.76789479614,44
06029,CANNES,6400,43.5526202843,7.00427592728,6
66041,CASES DE PENE,66600,42.7867407426,2.77853627321,66
47252,STE LIVRADE SUR LOT,47110,44.4058755457,0.599870593015,47
33236,LEGE CAP FERRET,33950,44.7609440223,-1.19293697437,33
06032,CAP D AIL,6320,43.7247392327,7.40161617522,6
52256,LAFAUCHE,52700,48.3053380759,5.49239986278,52
40067,CARCEN PONSON,40400,43.871874652,-0.81936363917,40
2A065,CARGESE,20130,42.1544254567,8.62659836115,20
13078,PORT ST LOUIS DU RHONE,13230,43.4148193741,4.80679663589,13
83036,CAVALAIRE SUR MER,83240,43.1819055812,6.52121721395,83
21603,SEMUR EN AUXOIS,21140,47.4909559267,4.34106366761,21
83029,CALLIAN,83440,43.6125180228,6.75708895004,83
43234,SAUGUES,43170,44.9482034569,3.53883236387,43
27165,CONCHES EN OUCHE,27190,48.9547259686,0.93199579313,27
85112,L ILE D OLONNE,85340,46.570163703,-1.7737502368,85
76351,LE HAVRE,76610,49.498452502,0.140153719153,76
95127,CERGY PONTOISE,95000,49.0401131567,2.05082123731,95
77337,NOISIEL,77186,48.8460926469,2.61997100426,77
19062,CORREZE,19800,45.3655110046,1.87090523159,19
12208,ST AFFRIQUE,12400,43.9656694471,2.86653125625,12
89068,CHABLIS,89800,47.8075995199,3.79091424228,89
39251,GEVINGEY,39570,46.6375986496,5.50938673759,39
74054,CHAINAZ LES FRASSES,74540,45.7784395221,5.98960566934,74
86288,VICQ SUR GARTEMPE,86260,46.726218827,0.843611918005,86
29058,FOUESNANT,29170,47.8783078862,-4.01834628474,29
74056,CHAMONIX MONT BLANC,74400,45.9309819111,6.92360096711,74
39097,CHAMPAGNOLE,39300,46.7445389751,5.8988102947,39
38567,CHAMROUSSE,38410,45.1197427134,5.89438297795,38
69205,ST GENIS LES OLLIERES,69290,45.7610551042,4.72602177608,69
40002,AMOU,40330,43.5938659835,-0.743678079626,40
42127,MABLY,42300,46.0919456873,4.0633211833,42
85298,VAIRE,85150,46.6055340621,-1.74863672042,85
40230,PONTONX SUR L ADOUR,40465,43.7980252651,-0.940526888731,40
81018,ARTHES,81160,43.9638815505,2.22587013595,81
34299,SERIGNAN,34410,43.2733185307,3.29725083254,34
33140,CREON,33670,44.770425384,-0.343606134456,33
36018,LE BLANC,36300,46.6346200347,1.10013221164,36
94016,CACHAN,94230,48.7916121646,2.33153313164,94
13117,VITROLLES,13127,43.4497831674,5.26357787665,13
28085,CHARTRES,28000,48.4471464884,1.50570610616,28
50349,MONTMARTIN SUR MER,50590,48.9910212765,-1.52994382531,50
80186,CHAULNES,80320,49.8169359721,2.80153906029,80
23096,GUERET,23000,46.1632121428,1.87078672735,23
84087,ORANGE,84100,44.128913537,4.8098792403,84
92050,NANTERRE,92000,48.8960701282,2.20671346353,92
30334,UZES,30700,44.0136590402,4.41600031556,30
32013,AUCH,32000,43.6534300414,0.575190250459,32
97611,MAMOUDZOU,97600,-12.7899979586,45.1932456026,976
42187,ROANNE,42300,46.0449112487,4.0797045647,42
83081,MONTAUROUX,83440,43.5990101065,6.78985995347,83
66149,PRADES,66500,42.6145021996,2.43074849066,66
68177,LAUTENBACH,68610,47.9527349295,7.16433010313,68
79191,NIORT,79000,46.328260242,-0.465353019369,79
35220,PIRE SUR SEICHE,35150,48.0111877546,-1.42837195377,35
61001,ALENCON,61000,48.4318193082,0.0915406916107,61
31317,MARIGNAC LASCLARES,31430,43.3049878647,1.10662037582,31
93072,STAINS,93240,48.9567775699,2.3854495629,93
35263,ST COULOMB,35350,48.677369423,-1.92087004371,35
89338,ST CLEMENT,89100,48.2247837392,3.30677970985,89
92024,CLICHY,92110,48.9035359139,2.30575230452,92
83103,LE REVEST LES EAUX,83200,43.1824918424,5.94565392204,83
17415,SAINTES,17100,45.7422300162,-0.649623035643,17
45146,LA FERTE ST AUBIN,45240,47.7119750833,1.92714666074,45
59090,BONDUES,59910,50.7096656233,3.09529083038,59
16102,COGNAC,16100,45.6962326551,-0.33507941815,16
66053,COLLIOURE,66190,42.5130107325,3.07254121467,66
68066,COLMAR,68000,48.1099405789,7.38468690323,68
70162,COLOMBE LES VESOUL,70000,47.6121777534,6.22089003773,70
83061,FREJUS,83600,43.4719558114,6.76361597424,83
25512,LE RUSSEY,25210,47.1549185878,6.73440290446,25
81139,LAUTREC,81440,43.7052468491,2.12929403349,81
33523,TARGON,33760,44.7345410468,-0.267821650496,33
68297,ST LOUIS,68300,47.6016553367,7.54061872745,68
33356,LA RIVIERE,33126,44.9377237217,-0.316177006649,33
78362,MANTES LA VILLE,78711,48.9747939435,1.71205571778,78
11069,CARCASSONNE,11000,43.2093798444,2.34398855385,11
31451,REVEL,31250,43.4656037799,1.99689394052,31
04088,FORCALQUIER,4300,43.9599082374,5.7882827572,4
2A004,AJACCIO,20167,41.9347926638,8.70132275974,20
27056,BERNAY,27300,49.0925877345,0.58959175237,27
56100,LANGONNET,56630,48.1318811919,-3.48128235286,56
30164,MEJANNES LE CLAP,30430,44.2309207985,4.36426612667,30
83126,LA SEYNE SUR MER,83500,43.0880294967,5.87089841754,83
32256,MIRANDE,32300,43.5186713962,0.410792361049,32
