id_commune,code_insee,code_postal,latitude,longitude,nom_commune,id_departement
1228,44131,44210,47.1223972452,-2.05182334479,PORNIC,56
1229,45277,45600,47.6846303969,2.45341866592,ST FLORENT,61
1230,21710,21350,47.3974282764,4.54312292794,VITTEAUX,13
1231,77059,77600,48.8462454012,2.67900406868,BUSSY ST MARTIN,80
1232,1290,1800,45.8803945768,5.17955874977,PEROUGES,9
1233,85010,85440,46.4744272125,-1.49524360118,AVRILLE,11
1234,85146,85600,46.9759800852,-1.31364530268,MONTAIGU,11
1235,34199,34120,43.462990168,3.41651652125,PEZENAS,7
1236,13071,13170,43.4026791235,5.31547094057,LES PENNES MIRABEAU,1
1237,13082,13840,43.6648781836,5.35218247017,ROGNES,1
1238,37212,37800,47.1566893573,0.676679379745,STE CATHERINE DE FIERBOIS,35
1239,56044,56200,47.7490041075,-2.09816065532,COURNON,32
1240,47217,47270,44.1878890197,0.805532157902,PUYMIROL,23
1241,89309,89140,48.2787429774,3.1934739546,PONT SUR YONNE,27
1242,64138,64510,43.2436324189,-0.272861349005,BORDES,15
1243,86194,86000,46.5839207726,0.359947653003,NOUAILLE MAUPERTUIS,10
1244,74080,74220,45.9001389505,6.46031714364,LA CLUSAZ,36
1245,59491,59590,50.410089317,3.48909318774,RAISMES,18
1246,12094,12140,44.6544227279,2.57843798744,ENTRAYGUES SUR TRUYERE,81
1247,29234,29300,47.8554814745,-3.48681564705,RÉDÉNÉ,22
1248,11081,11160,43.3327963198,2.51635482478,CAUNES MINERVOIS,29
1249,73029,73000,45.5520596872,5.93925556329,BARBERAZ,31
1250,82132,82800,44.1035057733,1.62418942804,MONTRICOUX,99
1251,33545,33180,45.2541334712,-0.845409908523,VERTHEUIL,2
1252,38182,38690,45.3962642718,5.4186427969,LE GRAND LEMPS,3
1253,97101,97142,16.2727794035,-61.5017044974,LES ABYMES,98
1254,12198,12240,44.3085754076,2.22948755681,RIEUPEYROUX,81
1255,34255,34980,43.6896523672,3.80969577473,ST GELY DU FESC,7
1256,47195,47600,44.1321004332,0.343358299602,NERAC,23
1257,66048,66290,42.4439076617,3.14835500726,CERBERE,6
1258,2B050,20260,42.5454874755,8.7595487404,CALVI,46
1259,95268,95140,48.9701231267,2.40534038501,GARGES LES GONESSE,55
1260,63103,63140,45.9206993185,3.0632143777,CHATEL GUYON,49
1261,89446,89450,47.4524539513,3.71058845441,VEZELAY,27
1262,19010,19400,45.1011667634,1.93436308377,ARGENTAT SUR DORDOGNE,75
